Site,Channel,Replicate,Hour,DmagnaCT,DmagnaCN,DanicaCT,DanicaCN,AnguillaCT,AnguillaCN,,,,,,,
Carpenter,C2,R3,1,32.65,5.400,28.80,3.600,30.31,1.150,,,,,,,
Carpenter,C2,R3,1,31.76,9.930,28.67,3.920,30.19,1.230,,,,,,,
Carpenter,C3,R1,1,33.33,3.380,29.37,2.420,30.08,1.310,,,,,,,
Carpenter,C3,R1,1,32.82,4.820,29.62,2.030,30.15,1.260,,,,,,,
Carpenter,C3,R1,1,33.22,3.660,29.20,2.710,29.94,1.430,,,,,,,
Carpenter,C3,R2,1,33.88,2.330,25.98,25.480,29.50,1.850,,,,,,,
Carpenter,C3,R2,1,33.15,3.830,26.69,15.590,29.42,1.950,,,,,,,
Carpenter,C3,R2,1,29.65,42.140,25.99,25.390,29.25,2.150,,,,,,,
Carpenter,C3,R3,1,32.38,6.480,28.62,4.060,29.26,2.130,,,,,,,
Carpenter,C3,R3,1,32.22,7.260,28.82,3.540,29.39,1.980,,,,,,,
Carpenter,C3,R3,1,32.35,6.640,28.58,4.180,29.13,2.310,,,,,,,
Davies,C1,R1,1,34.36,1.670,27.58,8.400,32.40,0.330,,,,,,,
Davies,C1,R1,1,36.41,0.410,26.10,23.510,32.16,0.380,,,,,,,
Davies,C1,R1,1,0.00,0.000,25.98,25.450,32.36,0.340,,,,,,,
Davies,C1,R2,1,31.71,10.280,24.58,67.320,30.17,1.250,,,,,,,
Davies,C1,R2,1,32.29,6.920,24.55,68.820,30.45,1.060,,,,,,,
Davies,C1,R2,1,32.63,5.480,24.50,71.450,30.69,0.910,,,,,,,
Davies,C1,R3,1,32.90,4.550,24.87,55.300,30.83,0.840,,,,,,,
Davies,C1,R3,1,32.68,5.280,25.02,49.750,30.50,1.030,,,,,,,
Davies,C1,R3,1,33.88,2.330,25.00,50.540,30.29,1.160,,,,,,,
Davies,C2,R1,1,30.74,19.900,24.92,53.140,30.47,1.050,,,,,,,
Davies,C2,R1,1,31.42,12.510,25.11,46.580,30.31,1.150,,,,,,,
Davies,C2,R1,1,31.58,11.260,25.26,42.150,30.36,1.120,,,,,,,
Davies,C2,R2,1,34.71,1.310,24.83,56.520,30.60,0.970,,,,,,,
Davies,C2,R2,1,32.69,5.250,24.83,56.830,30.85,0.830,,,,,,,
Davies,C2,R2,1,33.58,2.850,24.78,58.790,30.79,0.860,,,,,,,
Davies,C2,R3,1,31.44,12.400,25.09,47.270,30.53,1.010,,,,,,,
Davies,C2,R3,1,31.19,14.650,24.99,50.870,30.42,1.080,,,,,,,
Davies,C2,R3,1,30.97,17.080,24.89,54.490,30.57,0.980,,,,,,,
Davies,C3,R1,1,36.26,0.450,25.14,45.860,30.27,1.180,,,,,,,
Davies,C3,R1,1,33.17,3.790,24.88,54.680,30.33,1.130,,,,,,,
Davies,C3,R1,1,33.66,2.710,25.04,48.930,30.16,1.250,,,,,,,
Davies,C3,R2,1,31.73,10.150,24.79,58.490,30.14,1.270,,,,,,,
Davies,C3,R2,1,32.47,6.120,24.73,60.590,29.81,1.550,,,,,,,
Davies,C3,R2,1,32.82,4.790,24.66,63.720,29.82,1.530,,,,,,,
Davies,C3,R3,1,34.80,1.230,24.22,86.590,29.89,1.470,,,,,,,
Davies,C3,R3,1,32.96,4.380,24.20,87.640,30.62,0.950,,,,,,,
Davies,C3,R3,1,33.61,2.790,24.40,76.250,29.75,1.600,,,,,,,
Hanwell,C1,R1,1,0.00,0.000,31.71,0.470,30.51,1.020,,,,,,,
Hanwell,C1,R1,1,0.00,0.000,32.46,0.280,31.65,0.520,,,,,,,
Hanwell,C1,R1,1,0.00,0.000,33.00,0.190,34.09,0.120,,,,,,,
Hanwell,C1,R2,1,33.98,2.170,30.12,1.430,30.87,0.820,,,,,,,
Hanwell,C1,R2,1,32.76,5.000,31.53,0.540,31.46,0.580,,,,,,,
Hanwell,C1,R2,1,34.88,1.170,30.65,0.990,30.83,0.840,,,,,,,
Hanwell,C1,R3,1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Hanwell,C1,R3,1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Hanwell,C1,R3,1,0.00,0.000,0.00,0.000,0.00,0.000,,,,,,,
Hanwell,C2,R1,1,34.30,1.740,29.64,2.010,31.30,0.640,,,,,,,
Hanwell,C2,R1,1,33.36,3.310,32.72,0.230,30.87,0.820,,,,,,,
Hanwell,C2,R1,1,33.86,2.360,29.55,2.140,30.78,0.870,,,,,,,
Hanwell,C2,R2,1,37.42,0.200,32.05,0.370,30.50,1.030,,,,,,,
Hanwell,C2,R2,1,36.23,0.460,31.55,0.530,30.72,0.900,,,,,,,
Hanwell,C2,R2,1,36.49,0.390,31.54,0.530,30.20,1.230,,,,,,,
Hanwell,C2,R3,1,31.20,14.540,27.87,6.870,38.21,0.010,,,,,,,
Hanwell,C2,R3,1,31.48,12.040,27.74,7.520,0.00,0.000,,,,,,,
Hanwell,C2,R3,1,32.52,5.900,27.85,6.960,39.51,0.000,,,,,,,
Hanwell,C3,R1,1,36.91,0.290,38.18,0.000,29.25,2.150,,,,,,,
Hanwell,C3,R1,1,37.67,0.170,37.09,0.010,29.13,2.310,,,,,,,
Hanwell,C3,R1,1,34.71,1.310,0.00,0.000,29.34,2.040,,,,,,,
Hanwell,C3,R2,1,31.68,8.500,28.14,8.200,31.01,1.550,,,,,,,
Hanwell,C3,R2,1,31.98,6.930,28.52,6.370,30.78,1.770,,,,,,,
Hanwell,C3,R2,1,30.91,14.350,27.89,9.660,30.85,1.700,,,,,,,
Hanwell,C3,R3,1,34.09,1.660,0.00,0.000,0.00,0.000,,,,,,,
